id,date,time,crime_type,city,state,location_description,victim_age,victim_gender,victim_race
89,12-04-2024,06:40:05,Vandalism,Phoenix,AZ,3997 Elm St,89,Female,Hispanic
90,04-07-2025,22:33:19,Homicide,Philadelphia,PA,2783 Main St,15,Other,Other
91,10-01-2022,02:09:25,Assault,Los Angeles,CA,282 Oak St,41,Other,Other
92,17-03-2022,00:09:35,Fraud,Chicago,IL,5634 Maple Ave,82,Male,White
93,12-11-2020,14:22:45,Arson,San Diego,CA,7462 Main St,27,Male,White
94,10-01-2022,00:23:17,Assault,Houston,TX,8231 Maple Ave,54,Female,Black
95,01-03-2023,10:22:08,Vandalism,Chicago,IL,153 Maple Ave,81,Non-binary,Asian
96,03-10-2024,09:22:46,Theft,San Antonio,TX,4998 Pine St,23,Male,Hispanic
97,09-12-2021,14:30:49,Vandalism,Dallas,TX,274 Broadway,35,Male,White
98,05-07-2023,18:55:22,Domestic Violence,Phoenix,AZ,8226 Broadway,20,Non-binary,Other
99,16-02-2021,08:54:47,Assault,San Jose,CA,3114 Pine St,59,Other,Other
100,14-06-2024,16:18:49,Vandalism,San Jose,CA,4227 Oak St,17,Female,Hispanic
101,28-03-2021,12:36:24,Domestic Violence,San Antonio,TX,3426 Pine St,58,Female,Other
102,22-06-2021,15:37:14,Vandalism,Phoenix,AZ,5919 Oak St,86,Male,Black
103,31-10-2020,21:38:39,Fraud,San Antonio,TX,170 Elm St,74,Non-binary,Other
104,01-02-2023,12:49:39,Arson,San Jose,CA,6392 Pine St,67,Female,Asian
105,02-04-2025,07:04:01,Arson,New York,NY,7610 Oak St,41,Male,Other
106,25-06-2023,11:34:54,Homicide,San Jose,CA,5782 Main St,22,Female,Asian
107,04-07-2023,21:46:20,Vandalism,New York,NY,3538 Maple Ave,47,Female,White
108,24-11-2024,22:42:01,Vandalism,Dallas,TX,5547 Maple Ave,25,Non-binary,Other
109,18-12-2022,11:42:29,Domestic Violence,San Diego,CA,5120 Elm St,40,Female,Other
110,06-09-2022,16:09:58,Theft,Phoenix,AZ,8866 Main St,84,Other,Asian
111,10-12-2023,15:04:39,Theft,New York,NY,8904 Oak St,39,Male,Black
112,30-01-2021,03:41:40,Drug Offense,Phoenix,AZ,1619 Maple Ave,34,Other,White
113,04-01-2021,20:59:32,Domestic Violence,Dallas,TX,9992 Elm St,14,Male,White
114,05-12-2021,15:28:42,Fraud,Houston,TX,8074 Elm St,57,Female,White
115,10-11-2022,08:42:49,Vandalism,Dallas,TX,5650 Pine St,38,Male,Other
116,02-04-2021,14:31:31,Theft,San Jose,CA,9405 Maple Ave,16,Non-binary,Other
117,14-10-2023,18:49:01,Burglary,San Jose,CA,7445 Elm St,63,Male,White
118,14-06-2022,03:13:14,Drug Offense,San Diego,CA,5323 Elm St,54,Other,Black
119,22-02-2024,19:51:30,Robbery,Los Angeles,CA,2684 Broadway,85,Male,Asian
120,24-01-2025,15:58:07,Burglary,San Jose,CA,2606 Main St,21,Non-binary,White
121,26-05-2023,06:43:57,Drug Offense,Houston,TX,2447 Oak St,67,Female,White
122,02-12-2020,00:01:42,Vandalism,San Antonio,TX,8238 Elm St,70,Female,Asian
123,14-11-2020,16:46:56,Domestic Violence,San Jose,CA,5115 Broadway,71,Other,Black
124,19-01-2022,09:16:54,Robbery,New York,NY,7673 Broadway,79,Male,Other
125,19-06-2023,23:57:50,Homicide,New York,NY,1764 Maple Ave,67,Male,Asian
126,11-04-2025,13:43:10,Vandalism,San Diego,CA,5295 Main St,30,Male,Other
127,06-11-2024,06:30:56,Fraud,New York,NY,7386 Main St,56,Non-binary,White
128,04-07-2025,22:18:23,Homicide,San Diego,CA,3427 Oak St,83,Other,Other
129,05-02-2025,15:02:14,Theft,Dallas,TX,2087 Maple Ave,33,Non-binary,Hispanic
130,28-07-2022,09:59:53,Domestic Violence,San Antonio,TX,1673 Pine St,40,Other,White
131,19-12-2022,12:05:14,Homicide,Dallas,TX,2690 Broadway,25,Other,Hispanic
132,08-01-2021,16:32:37,Arson,Philadelphia,PA,7265 Pine St,14,Male,Asian
133,14-11-2020,10:00:27,Robbery,Phoenix,AZ,5228 Broadway,17,Male,Black
134,24-04-2023,12:58:24,Drug Offense,San Antonio,TX,2291 Pine St,80,Female,Hispanic
135,08-01-2023,00:39:19,Fraud,San Jose,CA,5138 Broadway,45,Male,Other
136,22-02-2023,18:08:35,Domestic Violence,Philadelphia,PA,1970 Broadway,78,Male,Asian
137,27-04-2023,13:06:27,Robbery,Phoenix,AZ,7634 Maple Ave,56,Male,White
138,12-09-2021,15:10:14,Robbery,San Jose,CA,4216 Oak St,83,Other,Black
139,19-11-2021,00:13:53,Burglary,Philadelphia,PA,37 Elm St,49,Non-binary,Other
140,25-01-2023,02:22:21,Assault,Dallas,TX,2192 Elm St,35,Non-binary,Black
141,03-12-2024,06:51:13,Vandalism,San Diego,CA,5736 Maple Ave,88,Female,Other
142,22-06-2024,12:17:43,Domestic Violence,Philadelphia,PA,3753 Broadway,26,Other,Black
143,30-07-2022,12:10:31,Drug Offense,Philadelphia,PA,6912 Elm St,75,Female,Other
144,07-02-2025,12:33:49,Theft,San Diego,CA,9371 Broadway,61,Other,Other
145,20-03-2021,09:47:49,Fraud,Philadelphia,PA,6120 Main St,39,Male,White
146,22-10-2024,00:47:23,Vandalism,Chicago,IL,3380 Maple Ave,82,Non-binary,Other
147,18-06-2022,10:01:24,Burglary,Los Angeles,CA,9559 Pine St,42,Female,White
148,19-01-2022,06:15:53,Assault,Chicago,IL,2267 Main St,75,Male,Black
149,30-12-2022,18:18:07,Burglary,Dallas,TX,7270 Broadway,40,Other,White
150,27-04-2021,00:33:06,Burglary,Houston,TX,1398 Pine St,34,Non-binary,Black
151,13-04-2022,06:30:36,Burglary,Philadelphia,PA,9084 Main St,70,Other,White
152,07-04-2022,11:50:56,Vandalism,Dallas,TX,3526 Oak St,84,Non-binary,Asian
153,22-08-2021,01:08:25,Domestic Violence,Los Angeles,CA,7447 Elm St,27,Other,White
154,01-09-2021,22:16:54,Vandalism,Dallas,TX,3909 Pine St,18,Other,White
155,07-06-2025,07:52:27,Fraud,Dallas,TX,7130 Oak St,35,Male,White
156,09-10-2022,16:33:55,Assault,Chicago,IL,7079 Pine St,40,Other,White
157,22-08-2023,17:46:28,Assault,San Diego,CA,8196 Pine St,89,Non-binary,Hispanic
158,29-05-2021,12:18:37,Assault,San Jose,CA,5125 Maple Ave,12,Other,White
159,20-02-2022,02:13:08,Vandalism,New York,NY,7381 Pine St,44,Female,Black
160,07-03-2021,06:16:37,Vandalism,San Antonio,TX,1513 Main St,22,Male,Asian
161,10-03-2021,00:58:51,Theft,Phoenix,AZ,4785 Pine St,52,Other,Hispanic
162,09-12-2023,09:34:23,Drug Offense,Dallas,TX,3365 Broadway,72,Non-binary,White
163,24-06-2021,04:11:22,Fraud,Chicago,IL,7198 Maple Ave,28,Other,White
164,28-07-2022,18:00:49,Domestic Violence,San Diego,CA,9778 Main St,89,Male,Asian
165,02-07-2021,00:15:58,Drug Offense,San Diego,CA,5022 Elm St,65,Female,Other
166,07-10-2020,01:01:17,Assault,San Jose,CA,977 Main St,35,Non-binary,Black
167,03-11-2023,10:23:43,Arson,Los Angeles,CA,3886 Main St,34,Female,Black
168,28-05-2022,08:47:10,Arson,Los Angeles,CA,1902 Broadway,38,Female,Other
169,28-06-2023,04:22:25,Vandalism,San Diego,CA,2713 Maple Ave,80,Male,Black
170,09-12-2022,20:59:20,Vandalism,Phoenix,AZ,1393 Pine St,48,Female,Asian
171,13-01-2023,13:54:16,Robbery,San Antonio,TX,4876 Main St,13,Other,Other
172,25-12-2020,05:21:18,Assault,Los Angeles,CA,9716 Broadway,27,Non-binary,Hispanic
173,13-01-2025,14:22:23,Burglary,Houston,TX,5009 Elm St,79,Female,White
174,24-01-2023,05:49:36,Burglary,Dallas,TX,5264 Oak St,60,Other,White
175,20-09-2022,11:05:41,Homicide,Phoenix,AZ,6401 Elm St,75,Female,Other
176,17-11-2024,19:21:46,Drug Offense,New York,NY,2493 Maple Ave,43,Female,Other
177,05-10-2022,18:36:29,Theft,Philadelphia,PA,3045 Broadway,54,Female,Hispanic
178,18-06-2023,09:08:29,Domestic Violence,San Diego,CA,8711 Elm St,81,Non-binary,Black
179,16-01-2021,11:24:34,Burglary,San Diego,CA,1985 Broadway,88,Non-binary,Black
180,04-10-2023,17:52:32,Burglary,Dallas,TX,7012 Maple Ave,45,Non-binary,Other
181,12-03-2023,18:15:04,Theft,Dallas,TX,2421 Main St,67,Other,Asian
182,14-01-2024,22:58:48,Domestic Violence,San Antonio,TX,8111 Broadway,62,Male,Asian
183,17-08-2023,21:56:19,Arson,Philadelphia,PA,1832 Main St,35,Female,White
184,23-08-2024,10:20:08,Domestic Violence,San Diego,CA,7559 Elm St,40,Male,White
185,07-11-2022,08:09:48,Assault,San Diego,CA,961 Pine St,26,Female,Asian
186,21-03-2024,22:17:35,Domestic Violence,Los Angeles,CA,6231 Oak St,44,Male,White
187,09-01-2022,19:00:13,Vandalism,Houston,TX,1905 Pine St,50,Non-binary,Hispanic
188,21-05-2023,22:29:22,Burglary,Phoenix,AZ,2184 Oak St,44,Female,Black
189,22-01-2025,17:20:48,Drug Offense,New York,NY,9031 Elm St,34,Non-binary,Hispanic
190,08-09-2022,15:18:09,Fraud,San Jose,CA,9268 Oak St,62,Female,Other
191,01-11-2023,22:18:41,Drug Offense,Dallas,TX,393 Maple Ave,89,Male,Asian
192,25-09-2020,13:07:29,Theft,Chicago,IL,4651 Pine St,60,Female,White
193,29-01-2025,02:33:24,Theft,Los Angeles,CA,2879 Elm St,73,Female,Hispanic
194,20-11-2023,20:16:26,Domestic Violence,Chicago,IL,6840 Pine St,82,Non-binary,Other
195,20-07-2021,10:56:28,Fraud,Phoenix,AZ,1417 Main St,43,Non-binary,Hispanic
196,25-12-2022,05:46:29,Theft,Dallas,TX,477 Maple Ave,18,Non-binary,Other
197,21-08-2020,22:00:20,Burglary,Houston,TX,8612 Oak St,16,Other,Black
198,18-01-2024,04:49:21,Theft,Houston,TX,916 Oak St,49,Other,Hispanic
199,17-09-2020,13:13:34,Drug Offense,Chicago,IL,5083 Pine St,42,Female,Asian
200,25-08-2020,04:45:28,Drug Offense,Phoenix,AZ,2439 Elm St,41,Non-binary,White
201,14-03-2025,10:27:20,Robbery,San Antonio,TX,5055 Elm St,30,Other,Asian
202,19-01-2024,01:55:07,Vandalism,Houston,TX,6456 Maple Ave,47,Non-binary,Asian
203,16-02-2022,14:12:57,Theft,New York,NY,2775 Main St,19,Other,Black
204,21-10-2022,16:02:02,Drug Offense,Phoenix,AZ,5846 Pine St,31,Female,Hispanic
205,10-03-2023,02:06:28,Fraud,Phoenix,AZ,2285 Elm St,12,Female,White
206,24-09-2022,23:02:00,Homicide,Houston,TX,3954 Broadway,45,Female,Hispanic
207,17-08-2021,05:35:44,Domestic Violence,Philadelphia,PA,7183 Oak St,13,Other,Black
208,18-12-2023,18:17:41,Robbery,San Jose,CA,6741 Pine St,41,Male,White
209,23-01-2022,07:21:01,Robbery,New York,NY,8276 Elm St,23,Female,Asian
210,05-01-2025,08:46:34,Robbery,Dallas,TX,6654 Main St,89,Non-binary,Black
211,22-07-2024,21:57:42,Burglary,San Jose,CA,8734 Main St,87,Female,Asian
212,15-08-2024,06:28:48,Homicide,New York,NY,9579 Maple Ave,47,Female,Other
213,06-04-2024,10:11:49,Burglary,New York,NY,4901 Oak St,76,Male,Black
214,14-03-2022,10:18:07,Domestic Violence,San Diego,CA,2149 Broadway,26,Non-binary,Hispanic
215,27-12-2020,01:42:48,Theft,Houston,TX,7355 Broadway,85,Female,Other
216,14-06-2022,20:05:28,Theft,Houston,TX,138 Main St,76,Other,Hispanic
217,15-07-2021,02:49:18,Fraud,San Antonio,TX,9037 Maple Ave,53,Female,White
218,26-07-2023,05:54:53,Homicide,Los Angeles,CA,1066 Maple Ave,18,Male,Black
219,25-07-2024,12:30:53,Burglary,New York,NY,3185 Elm St,33,Other,White
220,06-03-2025,02:19:07,Arson,Los Angeles,CA,5760 Broadway,28,Female,Other
221,22-09-2023,18:16:17,Theft,Dallas,TX,9064 Pine St,68,Female,Black
222,15-09-2021,16:53:43,Arson,Houston,TX,5451 Maple Ave,43,Male,Asian
223,30-11-2023,06:09:18,Drug Offense,Chicago,IL,2077 Elm St,49,Non-binary,Hispanic
224,21-12-2023,11:12:09,Arson,San Diego,CA,528 Maple Ave,43,Female,White
225,02-05-2023,02:23:44,Vandalism,Los Angeles,CA,7867 Pine St,41,Non-binary,Asian
226,14-04-2024,15:48:20,Fraud,New York,NY,1987 Oak St,40,Male,White
227,28-07-2021,00:48:33,Theft,Houston,TX,2944 Maple Ave,75,Female,White
228,12-05-2023,22:53:50,Homicide,Los Angeles,CA,9815 Broadway,84,Male,Hispanic
229,28-04-2023,23:17:37,Fraud,New York,NY,345 Oak St,70,Other,White
230,24-06-2024,17:51:53,Homicide,Los Angeles,CA,2505 Broadway,48,Non-binary,Other
231,29-06-2021,04:26:49,Homicide,San Diego,CA,149 Main St,60,Non-binary,Asian
232,14-02-2021,14:49:21,Fraud,Dallas,TX,9109 Broadway,37,Other,Hispanic
233,10-06-2024,04:46:32,Domestic Violence,Chicago,IL,858 Maple Ave,34,Non-binary,Asian
234,16-07-2022,22:55:28,Arson,Los Angeles,CA,4975 Broadway,78,Other,Black
235,22-10-2023,10:08:29,Robbery,Chicago,IL,9596 Broadway,49,Other,Asian
236,30-01-2021,01:45:45,Homicide,Dallas,TX,5354 Oak St,43,Female,Asian
237,22-08-2023,00:06:52,Theft,New York,NY,9868 Oak St,39,Non-binary,White
238,27-03-2023,23:01:56,Domestic Violence,San Jose,CA,9000 Pine St,29,Female,Asian
239,25-05-2023,11:11:54,Robbery,Houston,TX,3345 Oak St,50,Other,Asian
240,02-11-2023,00:26:56,Drug Offense,Dallas,TX,673 Main St,52,Other,Black
241,06-03-2022,13:10:59,Domestic Violence,Los Angeles,CA,6560 Elm St,61,Female,White
242,14-07-2022,04:13:32,Robbery,Chicago,IL,3667 Oak St,89,Male,Black
243,08-12-2022,06:40:26,Homicide,San Jose,CA,2014 Maple Ave,87,Other,Hispanic
244,12-10-2020,19:49:30,Arson,Philadelphia,PA,9266 Broadway,41,Other,Hispanic
245,29-06-2021,07:20:38,Homicide,San Jose,CA,9342 Maple Ave,32,Non-binary,Other
246,04-07-2024,19:40:26,Fraud,San Antonio,TX,657 Elm St,36,Female,Asian
247,25-04-2025,18:38:35,Drug Offense,Philadelphia,PA,6665 Maple Ave,14,Non-binary,White
248,16-05-2025,19:34:35,Homicide,Los Angeles,CA,6659 Maple Ave,47,Female,Hispanic
249,02-08-2023,07:49:56,Burglary,Philadelphia,PA,2326 Oak St,85,Female,Asian
250,05-07-2023,10:20:08,Theft,San Antonio,TX,6536 Elm St,66,Other,Other
251,24-03-2024,17:15:14,Homicide,San Jose,CA,2908 Pine St,29,Male,Other
252,08-07-2022,03:54:19,Burglary,Chicago,IL,6017 Main St,48,Male,White
253,08-03-2024,03:33:32,Domestic Violence,New York,NY,2897 Elm St,75,Female,Black
254,11-07-2024,22:10:27,Burglary,Phoenix,AZ,105 Elm St,79,Male,Black
255,13-11-2024,13:06:18,Homicide,New York,NY,6839 Broadway,89,Male,White
256,05-03-2023,04:03:52,Arson,New York,NY,534 Oak St,53,Male,Other
257,05-02-2024,22:34:01,Robbery,Dallas,TX,1971 Oak St,73,Non-binary,Other
258,04-08-2023,12:37:01,Burglary,New York,NY,5427 Oak St,73,Non-binary,Black
259,13-03-2024,14:18:02,Robbery,San Diego,CA,4177 Broadway,22,Male,Asian
260,27-02-2021,20:05:35,Domestic Violence,Los Angeles,CA,8151 Pine St,53,Non-binary,Other
261,17-09-2020,10:44:00,Burglary,Houston,TX,4528 Broadway,66,Female,White
262,09-05-2021,13:25:23,Theft,Phoenix,AZ,1335 Oak St,86,Male,Hispanic
263,24-12-2023,03:04:18,Drug Offense,Dallas,TX,3406 Oak St,17,Non-binary,Black
264,23-05-2023,11:45:42,Assault,San Diego,CA,1443 Elm St,83,Female,Asian
265,19-01-2025,23:43:30,Domestic Violence,Dallas,TX,9079 Pine St,34,Male,Other
266,21-02-2023,07:06:06,Theft,Los Angeles,CA,3290 Broadway,54,Other,Asian
267,22-01-2025,18:29:50,Arson,Dallas,TX,2833 Main St,24,Non-binary,Asian
268,24-02-2023,00:29:54,Robbery,Phoenix,AZ,201 Broadway,85,Male,Asian
269,14-02-2021,07:05:48,Burglary,Chicago,IL,1975 Main St,90,Male,Other
270,03-02-2023,15:18:40,Domestic Violence,Phoenix,AZ,2155 Maple Ave,31,Female,Other
271,20-10-2023,05:14:41,Assault,San Antonio,TX,3440 Broadway,31,Male,Hispanic
272,12-12-2023,12:50:39,Arson,Philadelphia,PA,6671 Main St,72,Female,Asian
273,07-08-2023,16:45:18,Arson,San Jose,CA,9424 Pine St,70,Male,Hispanic
274,14-12-2021,13:30:06,Arson,New York,NY,417 Broadway,32,Other,Other
275,25-07-2021,18:39:16,Assault,Los Angeles,CA,1013 Broadway,63,Female,Black
276,11-07-2022,23:22:07,Fraud,Philadelphia,PA,3583 Elm St,20,Non-binary,Hispanic
277,19-06-2022,18:30:32,Domestic Violence,Los Angeles,CA,233 Oak St,74,Male,White
278,27-10-2020,04:20:47,Burglary,Chicago,IL,1995 Oak St,53,Other,Asian
279,07-11-2024,08:23:12,Homicide,San Diego,CA,3310 Elm St,18,Non-binary,Black
280,14-04-2022,23:18:20,Assault,Los Angeles,CA,9083 Broadway,84,Other,Black
281,07-06-2025,20:17:28,Robbery,San Antonio,TX,1144 Pine St,80,Female,Asian
282,21-09-2023,22:28:39,Robbery,Los Angeles,CA,6737 Pine St,14,Male,Black
283,17-08-2023,20:43:34,Vandalism,Phoenix,AZ,6289 Main St,63,Male,White
284,22-03-2023,10:16:52,Burglary,Chicago,IL,4284 Pine St,86,Other,Other
285,05-05-2024,10:15:23,Robbery,Philadelphia,PA,2472 Broadway,59,Other,Black
286,19-09-2024,13:41:07,Domestic Violence,San Antonio,TX,7257 Pine St,74,Male,Hispanic
287,01-02-2022,18:40:48,Fraud,Chicago,IL,5898 Broadway,87,Non-binary,Other
288,13-03-2025,02:16:21,Vandalism,New York,NY,6487 Maple Ave,22,Male,Black
289,29-05-2021,18:06:33,Burglary,New York,NY,9066 Elm St,23,Male,Hispanic
290,18-03-2024,04:24:37,Drug Offense,Philadelphia,PA,1001 Maple Ave,57,Non-binary,Other
291,22-11-2020,18:37:53,Burglary,San Antonio,TX,2784 Broadway,34,Other,Other
292,05-02-2021,02:15:35,Burglary,Los Angeles,CA,9210 Elm St,52,Non-binary,White
293,01-08-2024,02:25:41,Arson,Dallas,TX,8441 Pine St,44,Male,Black
294,13-09-2021,07:45:26,Domestic Violence,San Antonio,TX,8758 Maple Ave,18,Male,Other
295,26-07-2025,21:10:41,Robbery,San Diego,CA,5432 Oak St,34,Non-binary,Black
296,08-07-2024,20:44:41,Assault,Philadelphia,PA,8616 Elm St,54,Female,White
297,23-07-2024,10:07:01,Arson,Philadelphia,PA,6772 Elm St,42,Female,Black
298,24-11-2023,05:48:38,Drug Offense,Chicago,IL,2472 Oak St,85,Other,Black
299,13-03-2025,04:20:56,Arson,New York,NY,9148 Main St,73,Male,Other
300,22-05-2021,02:07:41,Fraud,Chicago,IL,9010 Broadway,31,Non-binary,Hispanic
301,08-10-2021,03:07:58,Drug Offense,Philadelphia,PA,6764 Broadway,43,Female,White
302,09-08-2023,00:50:52,Fraud,San Antonio,TX,4622 Main St,54,Non-binary,White
